User Name,First Name,Last Name,Display Name,Job Title,Department,Office Number,Office Phone,Mobile Phone,Fax,Address,City,State or Province,ZIP or Postal Code,Country or Region
User.1@yourtenantname.onmicrosoft.com,User,1,User 1,,,,,,,,,,,
User.2@yourtenantname.onmicrosoft.com,User,2,User 2,,,,,,,,,,,
User.3@yourtenantname.onmicrosoft.com,User,3,User 3,,,,,,,,,,,
User.4@yourtenantname.onmicrosoft.com,User,4,User 4,,,,,,,,,,,
User.5@yourtenantname.onmicrosoft.com,User,5,User 5,,,,,,,,,,,
User.6@yourtenantname.onmicrosoft.com,User,6,User 6,,,,,,,,,,,
User.7@yourtenantname.onmicrosoft.com,User,7,User 7,,,,,,,,,,,
User.8@yourtenantname.onmicrosoft.com,User,8,User 8,,,,,,,,,,,
User.9@yourtenantname.onmicrosoft.com,User,9,User 9,,,,,,,,,,,
User.10@yourtenantname.onmicrosoft.com,User,10,User 10,,,,,,,,,,,
User.11@yourtenantname.onmicrosoft.com,User,11,User 11,,,,,,,,,,,
User.12@yourtenantname.onmicrosoft.com,User,12,User 12,,,,,,,,,,,
User.13@yourtenantname.onmicrosoft.com,User,13,User 13,,,,,,,,,,,
User.14@yourtenantname.onmicrosoft.com,User,14,User 14,,,,,,,,,,,
User.15@yourtenantname.onmicrosoft.com,User,15,User 15,,,,,,,,,,,
User.16@yourtenantname.onmicrosoft.com,User,16,User 16,,,,,,,,,,,
User.17@yourtenantname.onmicrosoft.com,User,17,User 17,,,,,,,,,,,
User.18@yourtenantname.onmicrosoft.com,User,18,User 18,,,,,,,,,,,
User.19@yourtenantname.onmicrosoft.com,User,19,User 19,,,,,,,,,,,
User.20@yourtenantname.onmicrosoft.com,User,20,User 20,,,,,,,,,,,
User.21@yourtenantname.onmicrosoft.com,User,21,User 21,,,,,,,,,,,
User.22@yourtenantname.onmicrosoft.com,User,22,User 22,,,,,,,,,,,
User.23@yourtenantname.onmicrosoft.com,User,23,User 23,,,,,,,,,,,
User.24@yourtenantname.onmicrosoft.com,User,24,User 24,,,,,,,,,,,
